name,brand,categoryId,categoryName,weight,dimensions,stockQuantity,minStockLevel,rating,reviewCount,salesCount,viewCount,isFeatured,isOnSale,isRentable,rentalPricePerDay,tags,imagesCount,competitorPrice,supplierCost,shippingCost,price
The North Face outdoor 0,The North Face,2,outdoor,1.68,36x17x19,57,23,4.4,37,903,10836,True,True,False,0.0,"[""foldable"", ""compact""]",5,263.06,114.63,5.19,280.95
MSR Tents 1,MSR,1,Tents,2.1,270x225x180,71,24,4.2,13,50,750,False,False,True,54.4,"[""car-camping"", ""lightweight"", ""hiking"", ""windproof""]",6,0.0,268.98,12.33,810.05
Stansport sport 2,Stansport,4,sport,1.16,14x29x25,197,10,2.7,4,603,7236,False,True,False,0.0,"[""compact"", ""family""]",4,126.36,34.07,8.2,126.12
Osprey camp 3,Osprey,3,camp,5.02,35x38x25,175,19,3.4,1,1051,12612,False,False,True,20.8,"[""ultralight"", ""compact"", ""backpacking""]",3,0.0,107.84,13.95,337.18
MSR indoor 4,MSR,5,indoor,0.86,50x15x30,191,26,3.1,142,71,923,False,False,False,0.0,"[""4-season""]",7,149.04,70.88,8.06,163.91
Marmot outdoor 5,Marmot,2,outdoor,2.07,10x40x28,135,28,3.5,29,223,4237,False,False,False,0.0,"[""hiking"", ""4-season"", ""backpacking""]",5,150.2,52.09,13.27,159.14
Ozark Trail camp 6,Ozark Trail,3,camp,1.39,29x17x6,163,12,4.8,45,103,1442,False,True,True,12.48,"[""UV-resistant""]",2,159.28,53.17,12.16,133.86
Stansport outdoor 7,Stansport,2,outdoor,2.85,33x24x21,194,19,3.7,27,136,952,False,True,False,0.0,"[""foldable"", ""family""]",2,0.0,25.1,12.92,82.98
Black Diamond sport 8,Black Diamond,4,sport,0.33,41x16x22,150,9,2.7,48,461,2305,False,False,False,0.0,"[""family"", ""compact""]",8,332.18,164.45,2.94,357.55
Osprey sport 9,Osprey,4,sport,1.87,35x33x15,24,30,4.5,71,14,154,True,False,False,0.0,"[""waterproof""]",2,0.0,80.89,11.57,235.49
Black Diamond sport 10,Black Diamond,4,sport,1.22,25x15x18,35,20,3.0,74,56,1064,False,False,False,0.0,"[""lightweight""]",8,298.49,174.46,10.08,323.04
Marmot sport 11,Marmot,4,sport,3.73,13x28x28,97,22,4.8,92,174,1740,True,False,False,0.0,"[""4-season"", ""ultralight"", ""family"", ""windproof""]",1,241.7,88.69,13.9,255.8
The North Face night 12,The North Face,6,night,0.18,48x11x24,128,7,2.6,10,205,4100,False,False,False,0.0,"[""lightweight"", ""durable"", ""ultralight"", ""windproof""]",7,147.41,57.74,2.99,140.04
Coleman night 13,Coleman,6,night,1.0,42x18x9,61,16,3.0,29,220,3300,False,True,False,0.0,"[""lightweight""]",2,85.39,30.01,10.97,65.58
Quechua sport 14,Quechua,4,sport,3.95,16x33x22,139,9,3.2,63,61,1159,False,False,False,0.0,"[""family"", ""lightweight""]",5,232.67,85.47,12.89,232.87
Teton Sports indoor 15,Teton Sports,5,indoor,1.06,31x34x9,52,25,3.0,7,65,975,False,False,False,0.0,"[""waterproof""]",5,73.55,17.91,5.82,68.38
Stansport camp 16,Stansport,3,camp,5.47,23x31x12,143,26,3.6,3,118,2124,True,True,False,0.0,"[""solo"", ""eco-friendly"", ""waterproof""]",2,139.56,47.44,22.83,135.1
Ozark Trail night 17,Ozark Trail,6,night,0.43,25x18x10,158,30,4.7,141,132,2376,False,False,False,0.0,"[""eco-friendly"", ""hiking"", ""UV-resistant""]",2,43.81,12.94,4.4,50.44
The North Face day 18,The North Face,7,day,0.68,27x21x25,51,21,4.6,26,234,2808,False,False,False,0.0,"[""eco-friendly""]",7,162.1,82.3,3.47,190.53
The North Face night 19,The North Face,6,night,0.15,46x16x13,45,6,2.8,6,1300,16900,False,False,False,0.0,"[""hiking""]",7,152.89,59.27,7.05,153.93
Ozark Trail Tents 20,Ozark Trail,1,Tents,5.55,270x182x124,93,18,4.8,118,66,726,False,False,False,0.0,"[""hiking"", ""foldable"", ""family""]",7,276.27,80.25,17.11,304.72
Teton Sports camp 21,Teton Sports,3,camp,4.82,28x26x26,140,25,3.9,118,23,391,False,False,True,12.48,"[""compact"", ""lightweight""]",6,160.51,48.3,14.99,173.47
Black Diamond outdoor 22,Black Diamond,2,outdoor,1.87,10x38x29,50,29,4.2,35,36,432,True,True,False,0.0,"[""backpacking"", ""hiking"", ""ultralight"", ""4-season""]",2,273.15,120.59,11.83,244.22
Black Diamond day 23,Black Diamond,7,day,0.33,37x36x22,12,19,2.9,32,19,361,False,False,False,0.0,"[""durable"", ""windproof"", ""foldable"", ""car-camping""]",3,161.46,67.28,5.99,173.62
Osprey nature 24,Osprey,8,nature,1.56,19x17x17,163,27,3.1,29,117,1404,False,False,False,0.0,"[""4-season""]",3,179.0,64.8,9.99,194.9
Patagonia sport 25,Patagonia,4,sport,3.38,36x27x28,138,28,3.5,174,191,2865,False,True,False,0.0,"[""backpacking"", ""waterproof"", ""solo"", ""family""]",4,398.43,149.67,17.95,349.75
Black Diamond nature 26,Black Diamond,8,nature,2.43,35x28x23,7,26,3.2,10,374,7480,False,False,False,0.0,"[""UV-resistant""]",1,0.0,142.16,15.25,329.07
Wakeman outdoor 27,Wakeman,2,outdoor,1.05,11x33x22,46,6,3.6,117,204,3876,True,False,True,7.44,"[""windproof"", ""lightweight"", ""backpacking""]",6,0.0,30.09,8.88,114.7
Wakeman sport 28,Wakeman,4,sport,3.41,20x29x24,193,28,2.7,59,167,1002,True,False,False,0.0,"[""foldable"", ""family"", ""eco-friendly"", ""solo""]",2,152.44,40.11,11.58,141.98
Coleman camp 29,Coleman,3,camp,5.68,17x35x23,79,30,2.8,30,213,1065,False,False,True,20.8,"[""windproof"", ""compact"", ""durable""]",1,284.44,89.86,22.23,267.98
Ozark Trail night 30,Ozark Trail,6,night,1.29,43x40x25,17,13,3.6,190,86,1376,False,False,False,0.0,"[""hiking"", ""4-season""]",8,54.72,15.79,9.97,56.09
Marmot nature 31,Marmot,8,nature,0.44,30x15x20,82,11,4.6,20,24,312,False,False,False,0.0,"[""backpacking""]",6,181.79,78.35,5.66,196.1
